date,amount,category,description
20-07-2024,125.65,Income,Salary
31-12-2024,124.00,Income,Salary
05-01-2024,45.30,Expense,Groceries
15-01-2024,200.00,Income,Freelance Project
15-02-2024,80.00,Expense,Utilities
01-02-2024,150.00,Income,Bonus
20-03-2024,120.50,Expense,Car Repair
10-03-2024,300.50,Income,Investment Returns
10-04-2024,60.00,Expense,Clothing
25-04-2024,400.00,Income,Part-time Job
25-05-2024,35.75,Expense,Entertainment
15-05-2024,250.75,Income,Gift
30-06-2024,50.00,Expense,Internet
01-06-2024,100.00,Income,Refund
15-07-2024,95.20,Expense,Health Insurance
20-07-2024,500.00,Income,Salary
01-08-2024,140.00,Expense,Travel
15-08-2024,350.00,Income,Side Hustle
10-09-2024,25.00,Expense,Parking
05-09-2024,220.30,Income,Dividends
15-10-2024,70.00,Expense,Mobile Bill
01-10-2024,180.00,Income,Overtime Pay
30-11-2024,45.00,Expense,Restaurant
15-11-2024,600.00,Income,Freelance Contract
20-12-2024,100.00,Expense,Gift
30-12-2024,125.50,Income,Interest Income
